member_id,member_name,current_role,breakfasts_attended,agm_attended,formation_seminars_completed,training_sessions_completed,months_in_current_role,eligible
1,Mark Aquino,Servant,23,37,4,5,9,0
2,Ana Dela Cruz,Full Member,25,24,4,8,17,1
3,Mark Torres,Candidate,4,5,4,1,10,0
4,Ramon Mercado,BCLP,4,3,0,0,12,0
5,Elena Manalo,Initiate,17,8,0,2,1,1
6,Patrick Soriano,Initiate,1,7,0,0,12,0
7,Miguel Guevara,BCLP,9,2,0,4,2,0
8,Maria Villanueva,Full Member,29,25,4,6,7,1
9,Maria Bondoc,Secretariat,43,40,4,8,13,1
10,Michael Guevara,GL,55,66,4,12,26,0
11,Luz Bondoc,BCLP,5,5,0,3,1,0
12,David Flores,BCLP,18,17,0,2,10,0
13,James Mendoza,Candidate,21,4,4,2,7,0
14,John Bautista,AGL,57,44,4,11,15,0
15,Teresa Aquino,Candidate,16,13,4,4,5,0
16,Rosa Villanueva,Initiate,11,19,0,2,12,1
17,Josephine Villanueva,Servant,33,37,4,6,11,1
18,Peter Navarro,BCLP,19,8,0,0,2,0
19,Elena Santos,Initiate,8,7,0,1,2,1
20,Francisco Torres,Initiate,8,4,0,1,11,1
21,Fernando Gonzales,Full Member,16,27,4,4,15,0
22,Ana Ramos,Chapter Head,76,76,4,19,26,0
23,Maricel Ramos,Secretariat,42,47,4,4,16,0
24,Paul Bautista,Full Member,20,23,4,5,15,1
25,Juan Ocampo,AGL,59,47,4,9,16,0
26,James Soriano,AGL,58,58,4,11,14,0
27,Ronaldo Mendoza,Candidate,21,14,4,0,4,0
28,Patrick Ocampo,GL,67,69,4,12,27,0
29,Ramon Cruz,Candidate,14,23,4,2,13,0
30,James Guevara,Full Member,31,15,4,8,18,0
31,Elena Vergara,Full Member,17,21,4,4,15,0
32,Ana Guevara,Initiate,3,4,0,1,12,0
33,Cristina Navarro,BCLP,20,5,0,0,9,0
34,Mark Mercado,BCLP,18,4,0,3,3,0
35,Juan Cruz,Full Member,21,19,4,7,17,0
36,Francisco Santos,GL,56,65,4,13,19,0
37,Fernando Castillo,Full Member,17,28,4,6,15,0
38,Miguel Aquino,Secretariat,38,40,4,4,21,0
39,John Vergara,Full Member,26,30,4,8,16,1
40,Josephine Aquino,BCLP,12,6,0,2,4,0
41,John Garcia,Servant,37,33,4,8,15,1
42,Grace Vergara,Servant,36,32,4,7,13,1
43,Fernando Paglinawan,Secretariat,38,34,4,4,9,0
44,Carlo Bondoc,Initiate,1,10,0,0,8,0
45,James Gonzales,Initiate,1,7,0,4,1,0
46,Paul Vergara,Initiate,10,3,0,0,6,1
47,Mary Lim,Secretariat,31,35,4,7,17,0
48,Maria Bondoc,BCLP,15,6,0,1,11,0
49,Teresa Aquino,AGL,56,48,4,8,16,0
50,Francisco Torres,Candidate,18,20,4,4,12,1
51,John Mendoza,BCLP,7,18,0,1,10,0
52,Liza Reyes,Full Member,20,24,4,6,9,1
53,David Castillo,Initiate,5,14,0,0,11,1
54,Eduardo Mercado,AGL,55,51,4,10,20,0
55,Dante Vergara,Full Member,27,26,4,7,17,1
56,Ramon Santos,Candidate,20,21,4,1,8,0
57,Rosa Manalo,BCLP,17,11,0,3,7,0
58,Maricel Dela Cruz,Full Member,23,20,4,6,10,1
59,Ramon Villanueva,Candidate,14,17,4,4,11,1
60,Francisco Rodriguez,Servant,29,28,4,5,7,0
61,Carmen Aquino,Full Member,12,27,4,6,8,0
62,Ronaldo Mercado,Secretariat,45,44,4,4,18,0
63,Grace Villanueva,Servant,25,29,4,4,17,0
64,Patrick Morales,Initiate,0,3,0,2,12,0
65,Francisco Garcia,AGL,60,44,4,11,23,0
66,Grace Gonzales,Candidate,4,10,4,3,8,0
