member_id,member_name,current_role,breakfasts_attended,agm_attended,formation_seminars_completed,training_sessions_completed,months_in_current_role,eligible
1,John Aquino,Initiate,25,25,0,1,13,1
2,Ignacio Guevara,Initiate,19,2,0,3,12,1
3,Patrick Buenaventura,Full Member,25,30,4,7,19,1
4,Diana Mercado,BCLP,21,0,0,4,7,0
5,Kevin Manalo,Initiate,6,21,0,5,8,1
6,James Diaz,BCLP,19,17,0,4,12,0
7,Liza Ocampo,Regional Director,80,86,4,24,40,0
8,Gabriel Macaraeg,Candidate,27,10,4,3,17,0
9,Carmen Mendoza,BCLP,23,16,0,5,5,0
10,Laura Reyes,Servant,39,35,4,6,13,1
11,David Navarro,Full Member,35,33,4,8,10,1
12,Cristina Tolentino,Servant,34,24,4,8,10,0
13,Gabriel Paglinawan,Initiate,4,8,0,1,7,1
14,Peter Mendoza,Servant,40,37,4,6,10,1
15,Michael Ramos,Servant,30,42,4,6,17,1
16,Felicia Gonzales,Initiate,0,23,0,2,7,0
17,Ramon Villanueva,Full Member,16,24,4,8,13,0
18,Josephine Espiritu,BCLP,24,7,0,2,15,0
19,Juan Gonzales,Initiate,8,5,0,4,8,1
20,Eduardo Diaz,AGL,42,57,4,13,18,0
21,Dante Macaraeg,GL,65,52,4,12,26,0
22,Kevin Vergara,Candidate,16,25,4,6,7,1
23,James Bondoc,Candidate,5,22,4,2,7,0
24,Gabriel Cruz,BCLP,28,0,0,1,7,0
25,Michael Flores,Full Member,30,33,4,5,17,1
26,Helena Flores,Initiate,9,16,0,5,10,1
27,Ernesto Silverio,BCLP,28,15,0,3,14,0
28,Beatriz Soriano,Full Member,17,33,4,9,8,0
29,Ignacio Flores,Candidate,12,18,4,5,16,1
30,Cristina Castillo,AGL,50,49,4,8,18,0
31,Teresa Buenaventura,Servant,22,24,4,6,8,0
32,John Dela Torre,Initiate,25,13,0,1,3,1
33,Dante Flores,BCLP,8,4,0,1,13,0
34,Rosa Buenaventura,Candidate,20,10,4,1,18,0
35,Ignacio Gonzales,Initiate,21,17,0,6,8,1
36,Rosa Mendoza,BCLP,13,7,0,2,6,0
37,Ronaldo Diaz,Full Member,12,23,4,6,11,0
38,Andres Lim,Initiate,20,19,0,6,11,1
39,Fernando Mercado,AGL,46,63,4,14,15,0
40,John Flores,Secretariat,46,44,4,8,20,1
41,Kevin Dela Torre,Full Member,26,31,4,4,8,1
42,Miguel Morales,Initiate,5,13,0,3,15,1
43,Helena Pascual,BCLP,28,17,0,0,15,0
44,Fernando Reyes,Initiate,1,7,0,3,2,0
45,Maria Paglinawan,Initiate,17,3,0,3,2,1
46,Ronaldo Cruz,Servant,21,21,4,5,16,0
47,Michael Aguilar,Candidate,4,9,4,6,7,0
48,Beatriz Morales,GL,67,69,4,17,28,1
49,Maricel Bondoc,Candidate,17,12,4,1,6,0
50,Ernesto Buenaventura,Initiate,3,2,0,4,6,0
51,Laura Aquino,BCLP,18,4,0,4,1,0
52,Dante Lim,GL,52,68,4,18,31,0
53,Fernando Morales,Servant,21,38,4,9,9,0
54,Andres Silverio,Initiate,8,23,0,4,13,1
55,Mary Macaraeg,Candidate,26,14,4,3,12,0
56,Ignacio Navarro,Servant,39,35,4,5,13,1
57,Patrick Dela Cruz,Full Member,14,22,4,9,15,0
58,Michael Magbanua,BCLP,12,0,0,2,10,0
59,Laura Garcia,Servant,42,24,4,8,12,0
60,Ignacio Buenaventura,Full Member,32,32,4,8,16,1
61,Maria Santos,Secretariat,39,48,4,8,12,0
62,David Flores,Full Member,36,17,4,6,20,0
63,Ramon Macaraeg,Initiate,21,22,0,3,4,1
64,Ignacio Bondoc,Full Member,23,23,4,7,8,1
65,James Pascual,Servant,42,43,4,7,19,1
66,Cristina Bondoc,Candidate,28,15,4,4,6,1
67,Kevin Aquino,BCLP,13,17,0,0,14,0
68,Eduardo Magbanua,Candidate,11,23,4,0,12,0
69,Maricel Silverio,Servant,29,40,4,6,21,0
70,Cesar Aguilar,Servant,21,21,4,6,21,0
71,Maria Pascual,Secretariat,55,45,4,5,18,0
72,Paul Torres,AGL,43,59,4,8,26,0
73,Luz Santos,Candidate,12,21,4,0,17,0
74,Jose Castillo,Full Member,21,18,4,10,10,0
75,Roberto Torres,Secretariat,47,31,4,4,24,0
76,Ricardo Dela Torre,Initiate,17,5,0,2,13,1
77,Peter Castillo,Initiate,21,22,0,2,7,1
78,Carlo Lim,BCLP,11,8,0,2,11,0
79,John Bautista,AGL,49,62,4,9,26,0
80,James Morales,Initiate,1,7,0,4,2,0
81,Antonio Ramos,Candidate,25,19,4,0,5,0
82,Gabriel Flores,Candidate,14,25,4,6,15,1
83,James Pascual,Full Member,16,31,4,9,8,0
84,Michael Lim,Secretariat,44,50,4,8,24,1
85,Michael Reyes,BCLP,19,10,0,1,16,0
86,Carlo Macaraeg,Candidate,10,22,4,1,10,0
87,Helena Soriano,Initiate,10,12,0,5,9,1
88,Josephine Mercado,Full Member,37,14,4,9,19,0
89,Miguel Guevara,Full Member,31,17,4,8,15,0
90,Ricardo Ramos,Full Member,14,21,4,10,9,0
91,James Aquino,Servant,42,42,4,9,11,1
92,Gabriel Navarro,Secretariat,53,45,4,5,15,0
93,Diana Aquino,Initiate,17,23,0,1,5,1
94,Andres Ramos,Initiate,8,9,0,4,6,1
