member_id,member_name,current_role,breakfasts_attended,agm_attended,formation_seminars_completed,training_sessions_completed,months_in_current_role,eligible
1,Peter Ocampo,Initiate,9,0,0,1,5,1
2,Francisco Vergara,Secretariat,34,37,4,8,15,0
3,Michael Ocampo,Initiate,13,25,0,6,17,1
4,Mary Ocampo,GL,72,65,4,16,23,0
5,Ernesto Bondoc,Initiate,0,1,0,0,2,0
6,Fernando Morales,GL,49,49,4,9,17,0
7,Cristina Cruz,Servant,17,18,4,5,5,0
8,Luz Flores,Servant,23,17,4,1,6,0
9,Ramon Bautista,Servant,30,27,4,5,16,0
10,Patrick Magbanua,Initiate,18,16,0,7,19,1
11,David Lim,AGL,52,62,4,13,22,1
12,John Bautista,Candidate,21,13,4,7,10,1
13,Jose Aquino,Candidate,16,7,4,4,12,0
14,Elena Mercado,Full Member,19,30,4,8,15,0
15,Antonio Magbanua,Initiate,0,0,0,0,1,0
16,Ramon Castillo,Initiate,10,0,0,2,9,1
17,Liza Macaraeg,Initiate,0,0,0,4,0,0
18,Roberto Mendoza,BCLP,7,0,0,0,0,0
19,John Magbanua,BCLP,8,6,0,1,9,0
20,Andres Pascual,BCLP,3,0,0,0,0,0
21,Liza Buenaventura,Initiate,11,9,0,0,3,1
22,Ronaldo Aquino,AGL,39,36,4,6,8,0
23,Luz Vergara,Initiate,1,9,0,1,4,0
24,Jose Bautista,Initiate,10,11,0,0,0,0
25,Ramon Mendoza,BCLP,10,0,0,0,10,0
26,Mark Espiritu,Candidate,17,9,4,1,10,0
27,Ana Castillo,Full Member,9,17,4,7,5,0
28,Carlo Dimaculangan,Servant,13,15,4,3,5,0
29,Juan Magbanua,BCLP,5,3,0,0,0,0
30,Grace Aguilar,Full Member,25,23,4,6,8,1
31,Josephine Santos,Full Member,12,17,4,6,8,0
32,Carmen Pascual,Candidate,6,7,4,1,8,0
33,Ana Dela Cruz,Candidate,25,20,4,6,13,1
34,Diana Bautista,Initiate,2,2,0,0,0,0
35,Maricel Vergara,BCLP,16,11,0,0,3,0
36,David Pascual,Full Member,23,11,4,5,13,0
37,Cesar Garcia,Initiate,9,3,0,1,5,1
38,James Dela Torre,Candidate,20,21,4,5,25,1
39,Paul Navarro,Full Member,11,16,4,8,11,0
40,Grace Garcia,Candidate,14,8,4,2,5,0
41,Luz Pascual,AGL,35,41,4,6,10,0
42,Cesar Manalo,BCLP,8,10,0,2,10,0
43,Fernando Bondoc,Servant,21,32,4,4,16,0
44,Antonio Navarro,AGL,39,35,4,5,11,0
45,Cristina Garcia,Full Member,21,16,4,4,18,0
46,Elena Morales,Candidate,3,2,4,0,0,0
